Title,Platform,Release Date,Release Region,Publisher,Developer,Franchise,Genre,VR,DLC,English,Owned,Condition,Date Purchased, Purchase Price ,Format,Completed,Date Completed,Completion Time,Rating,Metacritic Rating,GameFAQs User Rating,Notes,Priority,Wishlisted,Estimated Time,Playing Status,Release Year,Weighted Score,Composite Score,My Score
Super Meat Boy,Xbox 360,10/20/2010,NA,Team Meat,Team Meat,Meat Boy,Side-Scrolling Platformer,,,,1,,,,Digital,0,,,,91%,84%,,3,,10.00,0,2010,74%,0.875,0.6
Street Fighter 6,PlayStation 5,6/2/2023,NA,Capcom,Capcom,Street Fighter,Fighting,,,,1,Complete,5/30/2023, $ 65.16 ,Physical,0,,,,92%,85%,,4,,17.00,-1,2023,84%,0.883,0.8
Star Wars: Jedi Survivor,PlayStation 5,4/28/2023,NA,Electronic Arts,Respawn Entertainment,Star Wars,Action RPG,,,,1,Complete,5/5/2023, $ 76.03 ,Physical,0,,,,86%,72%,,4,,18.50,-1,2023,79%,0.788,0.8
Star Ocean: The Divine Force,PlayStation 5,10/27/2022,NA,Square Enix,tri-Ace,Star Ocean,Action RPG,,,,1,Complete,7/3/2022, $ 65.16 ,Physical,0,,,,73%,84%,,4,,33.00,-1,2022,79%,0.786,0.8
Chrono Cross: The Radical Dreamers Edition,Nintendo Switch,4/7/2022,AS,Square Enix,Square Enix,Chrono,Turn-Based RPG,,,2,1,Complete,3/27/2022, $ 43.89 ,Physical,0,,,,80%,75%,,4,,37.00,-1,2022,79%,0.774,0.8
Sifu,PlayStation 5,2/8/2022,NA,Sloclap,Sloclap,,Beat 'em Up,,,,1,Complete,2/14/2022, $ 54.30 ,Physical,0,,,,80%,74%,Vengeance Edition,4,,10.00,-1,2022,78%,0.768,0.8
Collection of SaGa: Final Fantasy Legend,PC,10/21/2021,NA,Square Enix,Square Enix,SaGa,Turn-Based RPG,,,,1,,4/29/2023, $ 11.99 ,Digital,0,,,,,64%,Steam,4,,40.00,-1,2021,72%,64%,0.8
Celeste,Nintendo Switch,1/24/2018,NA,Matt Makes Games,Matt Makes Games,Celeste,Side-Scrolling Platformer,,,,1,Complete,10/18/2019, $ 40.49 ,Physical,0,,,,92%,85%,Limited Run Games,5,,8.00,-1,2018,94%,0.8888,1
Moero Chronicle,PC,8/16/2017,NA,Idea Factory International,Compile Heart,Genkai Tokki,Dungeon Crawler,,,,1,,10/23/2019,,Digital,0,,,,64%,74%,Steam,3,,21.50,-1,2017,64%,0.689,0.6
The Ico & Shadow of the Colossus Collection,PlayStation 3,9/27/2011,NA,Sony Computer Entertainment,SIE Japan Studio,,Action Adventure,,,,1,Complete,12/24/2018, $ 11.99 ,Physical,0,,,,92%,88%,Broken case,5,,15.50,-1,2011,95%,0.902,1
Shin Megami Tensei: Persona 3 FES,PlayStation 2,4/22/2008,NA,Atlus,Atlus,Megami Tensei,Turn-Based RPG,,,,0,,,,,0,,,,88%,89%,,5,,81.00,-1,2008,94%,0.884,1
Xenosaga Episode I: Der Wille zur Macht,PlayStation 2,2/25/2003,NA,Namco,Monolith Soft,Xeno,Turn-Based RPG,,,,0,,,,,0,,,,84%,79%,,4,,40.00,-1,2003,81%,0.817,0.8
Golden Sun,Game Boy Advance,11/12/2001,NA,Nintendo,Camelot Software Planning,Golden Sun,Turn-Based RPG,,,,0,,,,,0,,,,89%,85%,,5,,22.00,-1,2001,94%,0.87,1
Baldi's Basics Plus,PC,Early Access,NA,Basically Games,Basically Games,Baldi's Basics,Survival Horror,,,,1,,, $ -   ,Digital,0,,,,,,itch.io,3,,,,Early Access,60%,,0.6
Long Gone Days,PC,Early Access,NA,BURA,BURA,,Turn-Based RPG,,,,1,,6/5/2020, $ -   ,Digital,0,,,,,,itch.io,3,,,,Early Access,60%,,0.6
Satisfactory,PC,Early Access,NA,Coffee Stain Publishing,Coffee Stain Studios,,Simulation,,,,1,,3/18/2022, $ -   ,Digital,0,,,,,,Steam,3,,,,Early Access,60%,,0.6
Bang-On Balls: Chronicles,PC,Early Access,NA,Untold Tales,Exit Plan Games,,3D Platformer,,,,1,,,,Digital,0,,,,,,Steam,2,,,,Early Access,40%,,0.4
Bounty of One,PC,Early Access,NA,OptizOnion,OptizOnion,,Roguelike,,,,1,,3/31/2023, $ -   ,Digital,0,,,,,,Steam,2,,,,Early Access,40%,,0.4
Just King,PC,Early Access,NA,VISH,VISH,,Roguelike,,,,1,,3/31/2023, $ -   ,Digital,0,,,,,,Steam,2,,,,Early Access,40%,,0.4
Repetendium,PC,Early Access,NA,Bearlex Games,Bearlex Games,,Roguelike,,,,1,,3/31/2023, $ 8.00 ,Digital,0,,,,,,Steam,2,,,,Early Access,40%,,0.4
Rogue: Genesia,PC,Early Access,NA,iolaCorp Studio,Huard Ouadi,,Roguelike,,,,1,,3/31/2023, $ -   ,Digital,0,,,,,,Steam,2,,,,Early Access,40%,,0.4
Scarlet Tower,PC,Early Access,NA,Pyxeralia,Pyxeralia,,Roguelike,,,,1,,3/31/2023, $ -   ,Digital,0,,,,,,Steam,2,,,,Early Access,40%,,0.4
SilverQuest: Gaiden,PC,Early Access,NA,Wolfgame,Wolfgame,,Dungeon Crawler,,,,1,,2/3/2015,,Digital,0,,,,,,Steam,2,,,,Early Access,40%,,0.4
Star Shredders,PC,Early Access,NA,Sharkbowl Games,Sharkbowl Games,,Scrolling Shooter,,,,1,,12/22/2022, $ 0.49 ,Digital,0,,,,,,Steam,2,,,,Early Access,40%,,0.4
The Void Rains Upon Her Heart,PC,Early Access,NA,The Hidden Levels,Veyeral Games,,Scrolling Shooter,,,,1,,,,Digital,0,,,,,,Steam,2,,,,Early Access,40%,,0.4
Voxatron,PC,Early Access,NA,Lexaloffle Games,Lexaloffle Games,,Shooter,,,,1,,11/9/2011,,Digital,0,,,,,,Humble Bundle,2,,,,Early Access,40%,,0.4
Beneath Oresa,PC,Early Access,NA,Broken Spear,Broken Spear,,Card Game,,,,1,,5/19/2023, $ 20.00 ,Digital,0,,,,,,Steam,2,,,,Early Access,40%,,0.4
Chrono Ark,PC,Early Access,NA,Al Fine,Al Fine,,Card Game,,,,1,,5/19/2023, $ -   ,Digital,0,,,,,,Steam,2,,,,Early Access,40%,,0.4
Re:|THM - once upon a time,PC,Early Access,NA,Boyagers Games,Boyagers Games,,Rhythm,,,,1,,5/27/2023, $ -   ,Digital,0,,,,,,Steam,2,,,,Early Access,40%,,0.4
GRAVEN,PC,Early Access,NA,3D Realms,Slipgate Ironworks,,First-Person Shooter,,,,1,,3/29/2023, $ -   ,Digital,0,,,,,,Steam,2,,,,Early Access,40%,,0.4
Roboquest,PC,Early Access,NA,RyseUp Studios,RyseUp Studios,,First-Person Shooter,,,,1,,11/1/2022, $ -   ,Digital,0,,,,,,Steam,2,,,,Early Access,40%,,0.4
Viscerafest,PC,Early Access,NA,Fulqrum Publishing,Acid Man Games,,First-Person Shooter,,,,1,,3/29/2023, $ -   ,Digital,0,,,,,,Steam,2,,,,Early Access,40%,,0.4
Wrath: Aeon of Ruin,PC,Early Access,NA,3D Realms,KillPixel,,First-Person Shooter,,,,1,,11/2/2021, $ -   ,Digital,0,,,,,,Steam,3,,,,Early Access,60%,,0.6
Songs of Conquest,PC,Early Access,NA,Coffee Stain Publishing,Lavapotion,,Strategy RPG,,,,1,,8/21/2023, $ 20.00 ,Digital,0,,,,,,Steam,4,,,,Early Access,80%,,0.8
WrestleQuest,PC,8/22/2023,NA,Sybound Games,Mega Cat Studios,,Turn-Based RPG,,,,1,,8/24/2023, $ -   ,Digital,0,,,,70%,,Steam,3,,,,2023,65%,70%,0.6
Zero Caliber VR,PC,7/31/2023,NA,XREAL Games,XREAL Games,,First-Person Shooter,1,,,1,,11/10/2020, $ -   ,Digital,0,,,,,85%,Steam,2,,4.00,,2023,63%,85%,0.4
Disney Illusion Island,Nintendo Switch,7/28/2023,NA,Disney Interactive,Dlala Studios,Mickey Mouse,Metroidvania,,,,1,Complete,6/15/2023, $ 43.44 ,Physical,0,,,,73%,,,3,,6.00,,2023,67%,73%,0.6
Deadlink,PC,7/27/2023,NA,SuperGG.com,Gruby Entertainment,,First-Person Shooter,,,,1,,3/29/2023, $ -   ,Digital,0,,,,,,Steam,3,,8.00,,2023,60%,,0.6
Double Dragon Gaiden: Rise of the Dragons,Nintendo Switch,7/27/2023,NA,Modus Games,Secret Base,Double Dragon,Beat 'em Up,,,,1,Complete,5/4/2023, $ 32.58 ,Physical,0,,,,64%,,,4,,1.50,,2023,72%,64%,0.8
Pikmin 4,Nintendo Switch,7/21/2023,NA,Nintendo,Nintendo,Pikmin,Real-Time Strategy,,,,1,Complete,2/9/2023, $ 65.16 ,Physical,0,,,,87%,85%,,4,,14.50,,2023,83%,0.86,0.8
Atelier Marie Remake: The Alchemist of Salburg,Nintendo Switch,7/13/2023,AS,Koei Tecmo Games,Gust Co. Ltd.,Atelier,Turn-Based RPG,,,2,1,Complete,2/25/2023, $ 49.99 ,Physical,0,,,,77%,,,3,,5.50,,2023,69%,77%,0.6
The Legend of Heroes: Trails Into Reverie,Nintendo Switch,7/7/2023,NA,NIS America,Nihon Falcom,The Legend of Heroes,Turn-Based RPG,,,,1,Complete,10/4/2021, $ 65.16 ,Physical,0,,,,79%,70%,,4,,46.00,,2023,77%,0.745,0.8
Everybody 1-2-Switch!,Nintendo Switch,6/30/2023,NA,Nintendo,Nintendo,1-2-Switch!,Minigame Collection,,,,1,Complete,6/2/2023, $ 29.99 ,Physical,0,,,,54%,75%,,1,,,,2023,42%,0.643,0.2
Master Detective Archives: RAIN CODE,Nintendo Switch,6/30/2023,NA,Spike Chunsoft,Too Kyo Games,,Action Adventure,,,,1,Complete,9/20/2022, $ 65.16 ,Physical,0,,,,77%,73%,,4,,31.00,,2023,77%,0.748,0.8
Story of Seasons: A Wonderful Life,Nintendo Switch,6/27/2023,NA,Xseed Games,Marvelous,Story of Seasons,Simulation,,,,1,Complete,12/20/2022, $ 54.30 ,Physical,0,,,,75%,88%,,2,,18.50,,2023,61%,0.815,0.4
Valthirian Arc: Hero School Story 2,Nintendo Switch,6/22/2023,NA,PQube,Agate,Valthirian Arc,Simulation,,,,1,Complete,6/27/2023, $ 38.01 ,Physical,0,,,,,,,2,,,,2023,40%,,0.4
The Wonderful One: After School Hero,PC,6/21/2023,NA,PlatinumGames,PlatinumGames,The Wonderful 101,Hack-and-Slash,,1,,1,,, $ -   ,Digital,0,,,,,,Steam,3,,2.00,,2023,60%,,0.6
Fall of Porcupine,PC,6/15/2023,NA,Assemble Entertainment,Critical Rabbit,,Adventure,,,,1,,8/21/2023, $ 2.20 ,Digital,0,,,,71%,,Steam,2,,8.50,,2023,56%,71%,0.4
Grimace's Birthday,Game Boy Color,6/12/2023,NA,McDonald's Corporation,Krool Toys Limited,McDonald's,Side-Scrolling Platformer,,,,0,,,,,0,,,,,,,3,,0.32,,2023,60%,,0.6
Loop8: Summer of Gods,Nintendo Switch,6/6/2023,NA,Xseed Games,SIEG Games,,Turn-Based RPG,,,,1,Complete,10/10/2022, $ 54.30 ,Physical,0,,,,48%,47%,,2,,10.00,,2023,44%,0.473,0.4
We Love Katamari Reroll + Royal Reverie,Nintendo Switch,6/2/2023,NA,Bandai Namco Games,MonkeyCraft,Katamari,Puzzle Action,,,,1,Complete,2/9/2023, $ 32.58 ,Physical,0,,,,,72%,,3,,5.50,,2023,66%,72%,0.6
Atom☭grad,PC,5/25/2023,NA,Petter Malmehed,Petter Malmehed,,Adventure,,,,1,,8/15/2023, $ 1.97 ,Digital,0,,,,,,Steam,2,,,,2023,40%,,0.4
Monster Menu: The Scavenger's Cookbook,Nintendo Switch,5/23/2023,NA,NIS America,Nippon Ichi Software,,Turn-Based RPG,,,,1,Complete,9/8/2022, $ 49.99 ,Digital,0,,,,71%,85%,"Deluxe Edition, two copies owned",2,,44.50,,2023,59%,0.78,0.4
Regenesis,PC,5/22/2023,NA,U-tad,Klopsy,,Turn-Based Tactics,,,,1,,5/27/2023, $ -   ,Digital,0,,,,,,Steam,2,,,,2023,40%,,0.4
The Wailer,PC,5/19/2023,NA,Vultive Entertainment,Ethan Robichaux,,Dungeon Crawler,,,,1,,5/27/2023, $ -   ,Digital,0,,,,,,Steam,2,,,,2023,40%,,0.4
HROT,PC,5/16/2023,NA,Spytihněv,Spytihněv,,First-Person Shooter,,,,1,,3/4/2022, $ -   ,Digital,0,,,,81%,80%,Steam,4,,5.00,,2023,80%,0.805,0.8
For a Vast Future,Nintendo Switch,5/12/2023,NA,RedDeerGames,Retreaux Games,,Strategy RPG,,,,1,,5/16/2023, $ 1.99 ,Digital,0,,,,,,,2,,7.50,,2023,40%,,0.4
Machine Heart,PC,5/10/2023,NA,USC Games,Machine Heart Team,,Puzzle Action,,,,1,,5/27/2023, $ -   ,Digital,0,,,,,,Steam,2,,,,2023,40%,,0.4
Dokapon Kingdom: Connect,Nintendo Switch,5/9/2023,NA,Idea Factory,Sting,Dokapon,Board Game,,,,1,Complete,1/23/2023, $ 54.30 ,Physical,0,,,,65%,,,2,,22.50,,2023,53%,65%,0.4
illum,PC,5/5/2023,NA,USC Games,"Elsa Liu, Tianyue Gu",,Puzzle Action,,,,1,,5/27/2023, $ -   ,Digital,0,,,,,,Steam,2,,0.25,,2023,40%,,0.4
City of Beats,PC,5/1/2023,NA,Freedom Games,Torched Hill,,Roguelike,,,,1,,8/21/2023, $ 2.20 ,Digital,0,,,,79%,,Steam,2,,,,2023,60%,79%,0.4
Mugen Souls,Nintendo Switch,4/27/2023,AS,EastAsiaSoft,Compile Heart,Mugen Souls,Turn-Based RPG,,,2,1,Complete,12/4/2022, $ 39.99 ,Physical,0,,,,,,,3,,22.50,,2023,60%,,0.6
DIGITAL EXORCIST case_(0);,PC,4/27/2023,NA,Cool Beans Productions,Cool Beans Productions,,Adventure,,,,1,,4/28/2023, $ -   ,Digital,0,,,,,,Steam,3,,0.73,,2023,60%,,0.6
Wretched Depths,PC,4/26/2023,NA,Wretched Devs,Wretched Devs,,Survival Horror,,,,1,,5/27/2023, $ -   ,Digital,0,,,,,100%,Steam,2,,1.50,,2023,70%,100%,0.4
Trinity Trigger,Nintendo Switch,4/25/2023,NA,Xseed Games,Three Rings,,Action RPG,,,,1,Complete,10/12/2022, $ 65.16 ,Physical,0,,,,75%,,Day 1 Edition,3,,15.00,,2023,68%,75%,0.6
R-Type Final 3: Evolved,PlayStation 5,4/25/2023,NA,NIS America,Granzella,R-Type,Scrolling Shooter,,,,1,Complete,11/9/2022, $ 39.00 ,Physical,0,,,,73%,87%,Deluxe Edition,2,,,,2023,60%,0.798,0.4
Fairy Fencer F: Refrain Chord,Nintendo Switch,4/25/2023,NA,Idea Factory,Sting,Fairy Fencer,Turn-Based RPG,,,,1,Complete,12/13/2022, $ 54.30 ,Physical,0,,,,,,,2,,38.50,,2023,40%,,0.4
Afterimage,Nintendo Switch,4/25/2023,NA,Modus Games,Aurogon Shanghai,,Metroidvania,,,,1,Complete,7/12/2023, $ 27.15 ,Physical,0,,,,63%,,,3,,29.00,,2023,62%,63%,0.6
Square Enix AI Tech Preview: The Portopia Serial Murder Case,PC,4/23/2023,NA,Square Enix,Square Enix,The Portopia Serial Murder Case,Adventure,,,,1,,4/26/2023, $ -   ,Digital,0,,,,,,,2,,2.50,,2023,40%,,0.4
Advance Wars 1+2: Re-Boot Camp,Nintendo Switch,4/21/2023,NA,Nintendo,WayForward Technologies,Advance Wars,Strategy RPG,,,,1,Complete,6/15/2021, $ 65.09 ,Physical,0,,,,83%,,,4,,40.00,,2023,82%,83%,0.8
Labyrinth of Zangetsu,Nintendo Switch,4/20/2023,NA,PQube,Acquire,,Dungeon Crawler,,,,1,Complete,12/12/2022, $ 39.99 ,Physical,0,,,,75%,,,2,,24.00,,2023,58%,75%,0.4
Final Fantasy I-VI Collection,Nintendo Switch,4/19/2023,NA,Square Enix,Square Enix,Final Fantasy,Turn-Based RPG,,,,1,Complete,12/18/2022, $ 299.78 ,Physical,0,,,,,,Anniversary Edition,4,,147.50,,2023,80%,,0.8
Teslagrad 2,PC,4/19/2023,NA,Modus Games,Rain Games,Teslagrad,Puzzle Platformer,,,,1,,8/21/2023, $ 2.20 ,Digital,0,,,,71%,75%,Steam,3,,2.50,,2023,67%,0.73,0.6
Mega Man Battle Network Legacy Collection,Nintendo Switch,4/14/2023,NA,Capcom,Capcom,Mega Man Battle Network,Strategy RPG,,,,1,Complete,12/13/2022, $ 65.16 ,Physical,0,,,,77%,87%,,4,,130.00,,2023,81%,0.819,0.8
A Knight in the Attic,PC,4/13/2023,NA,Mighty Yell,Mighty Yell,,Adventure,1,,,1,,6/20/2023, $ 9.90 ,Digital,0,,,,,,Steam,2,,,,2023,40%,,0.4
Process of Elimination,Nintendo Switch,4/11/2023,NA,NIS America,Nippon Ichi Software,,Visual Novel,,,,1,Complete,9/8/2022, $ 49.99 ,Physical,0,,,,70%,75%,Deluxe Edition,2,,22.00,,2023,56%,0.725,0.4
GrimGrimoire OnceMore,Nintendo Switch,4/4/2023,NA,NIS America,Vanillaware,GrimGrimoire,Real-Time Strategy,,,,1,Complete,9/8/2022, $ 49.99 ,Physical,0,,,,78%,88%,Deluxe Edition,4,,14.50,,2023,81%,0.828,0.8
The Murder of Sonic the Hedgehog,PC,3/31/2023,NA,Sega,Sega,Sonic the Hedgehog,Visual Novel,,,,1,,3/31/2023, $ -   ,Digital,0,,,,86%,73%,Steam,4,,2.00,,2023,80%,0.794,0.8
Charm Studies,PC,3/31/2023,NA,NomnomNami,NomnomNami,,Puzzle,,,,1,,4/23/2023, $ -   ,Digital,0,,,,,,itch.io,2,,,,2023,40%,,0.4
Dredge,PlayStation 4,3/30/2023,NA,Fireshrine Games,Black Salt Games,,Action Adventure,,,,1,Complete,6/14/2023, $ 23.27 ,Physical,0,,,,81%,79%,,4,,9.00,,2023,80%,0.8,0.8
Schildmaid MX,PC,3/24/2023,NA,HitP Studio,HitP Studio,,Scrolling Shooter,,,,1,,, $ -   ,Digital,0,,,,,,itch.io,2,,,,2023,40%,,0.4
Life After Magic,PC,3/23/2023,NA,Chirashi Games,Team Starlight,,Visual Novel,,,,1,,8/24/2023, $ -   ,Digital,0,,,,,,Steam,2,,,,2023,40%,,0.4
Kowloon's Curse: Lost Report,PC,3/22/2023,NA,Studio [notes.],Studio [notes.],Kowloon's Curse,Dungeon Crawler,,,,1,,5/27/2023, $ -   ,Digital,0,,,,,,Steam,2,,1.50,,2023,40%,,0.4
Tchia,PlayStation 5,3/21/2023,NA,Kepler Interactive,Awaceb,,Action Adventure,,,,1,Complete,5/24/2023, $ 38.01 ,Physical,0,,,,77%,66%,Oléti Edition,4,,7.00,,2023,76%,0.717,0.8
Alice Gear Aegis CS: Concerto of Simulatrix,Nintendo Switch,3/16/2023,NA,PQube,Pyramid,,Third-Person Shooter,,,,1,Complete,11/4/2022, $ 43.44 ,Physical,0,,,,,80%,,2,,1.00,,2023,60%,80%,0.4
The Legend of Heroes: Trails to Azure,Nintendo Switch,3/14/2023,NA,NIS America,Nihon Falcom,The Legend of Heroes,Turn-Based RPG,,,,1,Complete,10/4/2021, $ 54.30 ,Physical,0,,,,86%,74%,,4,,45.50,,2023,80%,0.798,0.8
The Forest Cathedral,PC,3/14/2023,NA,Whitethorn Games,Brian Wilson,,Adventure,,,,1,,5/5/2023, $ -   ,Digital,0,,,,,,Steam,2,,,,2023,40%,,0.4
Barotrauma,PC,3/13/2023,NA,Daedalic Entertainment,FakeFish,,Survival Horror,,,,1,,12/1/2021, $ -   ,Digital,0,,,,81%,76%,Steam,3,,38.50,,2023,69%,0.784,0.6
Mato Anomalies,Nintendo Switch,3/10/2023,NA,PLAION,Arrowiz,,Turn-Based RPG,,,,1,Complete,12/1/2022, $ 43.44 ,Physical,0,,,,60%,43%,,2,,26.00,,2023,46%,0.517,0.4
Record of Agarest War,Nintendo Switch,3/9/2023,NA,Aksys Games,Compile Heart,Agarest,Strategy RPG,,,,1,Complete,12/27/2022, $ 43.44 ,Physical,0,,,,,90%,,3,,75.50,,2023,75%,90%,0.6
Boneraiser Minions,PC,3/9/2023,NA,caiys,caiys,,Roguelike,,,,1,,3/31/2023, $ -   ,Digital,0,,,,,65%,Steam,3,,5.50,,2023,63%,65%,0.6
Little Witch Nobeta,Nintendo Switch,3/7/2023,NA,Idea Factory International,Pupuya Games,,Action RPG,,,,1,Complete,11/11/2022, $ 54.30 ,Physical,0,,,,76%,82%,,3,,5.50,,2023,70%,0.79,0.6
Patch Quest,PC,3/2/2023,NA,Curve Games,Lychee Game Labs,,Roguelike,,,,1,,5/16/2023, $ -   ,Digital,0,,,,80%,78%,Steam,3,,9.00,,2023,69%,0.788,0.6
void* tRrLM2(); //Void Terrarium 2,Nintendo Switch,2/28/2023,NA,NIS America,Nippon Ichi Software,Void Terrarium,Roguelike,,,,1,Complete,12/12/2022, $ 49.99 ,Physical,0,,,,78%,80%,Deluxe Edition,2,,13.50,,2023,60%,0.79,0.4
Scars Above,PlayStation 5,2/28/2023,NA,Prime Matter,Mad Head Games,,Action Adventure,,,,1,Complete,6/11/2023, $ 21.71 ,Physical,0,,,,64%,78%,,2,,6.50,,2023,55%,0.708,0.4
Clive 'N' Wrench,Nintendo Switch,2/24/2023,NA,Numskull Games,Dinosaur Bytes Studio,,3D Platformer,,,,1,Complete,6/28/2023, $ 24.69 ,Physical,0,,,,50%,61%,,4,,7.00,,2023,68%,0.555,0.8
Gal Guardians: Demon Purge,Nintendo Switch,2/23/2023,NA,Inti Creates,Inti Creates,Gal*Gun,Metroidvania,,,,1,Complete,2/9/2023, $ 43.44 ,Physical,0,,,,76%,78%,,4,,5.50,,2023,78%,0.768,0.8
Digimon World: Next Order,Nintendo Switch,2/22/2023,NA,Bandai Namco Games,Hyde,Digimon,Turn-Based RPG,,,,1,Complete,12/21/2022, $ 65.16 ,Physical,0,,,,62%,77%,,2,,47.50,,2023,55%,0.693,0.4
Like A Dragon: Ishin!,PlayStation 5,2/21/2023,NA,Sega,Ryu Ga Gotoku Studio,Yakuza,Action Adventure,,,,1,Complete,9/15/2022, $ 65.16 ,Physical,0,,,,81%,82%,,4,,23.00,,2023,81%,0.816,0.8
Wild Hearts,Xbox Series X|S,2/17/2023,NA,Electronic Arts,Omega Force,,Action RPG,,,,1,Complete,5/10/2023, $ 32.58 ,Physical,0,,,,76%,80%,,3,,41.50,,2023,69%,0.78,0.6
Tales of Symphonia Remastered,Nintendo Switch,2/17/2023,NA,Bandai Namco Entertainment,Namco Tales Studio,Tales,Action RPG,,,,1,Complete,9/13/2022, $ 39.99 ,Physical,0,,,,68%,72%,,3,,47.50,,2023,65%,0.699,0.6
Theatrhythm Final Bar Line,Nintendo Switch,2/16/2023,NA,Square Enix,indieszero,Final Fantasy,Rhythm,,,,1,Complete,9/13/2022, $ 54.30 ,Physical,0,,,,87%,85%,,3,,11.50,,2023,73%,0.861,0.6
Elderand,PC,2/16/2023,NA,Graffiti Games,Sinergia Games,,Metroidvania,,,,1,,6/20/2023, $ 14.99 ,Digital,0,,,,70%,68%,Steam,3,,5.00,,2023,65%,0.69,0.6
Labyrinth of Galleria: The Moon Society,Nintendo Switch,2/14/2023,NA,NIS America,Nippon Ichi Software,The Witch and the Hundred Knight,Dungeon Crawler,,,,1,Complete,6/22/2022, $ 54.30 ,Physical,0,,,,84%,82%,,3,,75.50,,2023,71%,0.828,0.6
